"","Sources       ","Articles"
"41","IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS                                                 ","  6"
"42","LASER & OPTOELECTRONICS PROGRESS                                                            ","  6"
"43","2020 IEEE INTERNATIONAL CONFERENCE ON VISUAL COMMUNICATIONS AND IMAGE PROCESSING (VCIP)     ","  5"
"44","2021 IEEE INTERNATIONAL CONFERENCE ON ACOUSTICS SPEECH AND SIGNAL PROCESSING (ICASSP 2021)  ","  5"
"45","2022 10TH EUROPEAN WORKSHOP ON VISUAL INFORMATION PROCESSING (EUVIP)                        ","  5"
"46","2023 IEEE INTERNATIONAL CONFERENCE ON MULTIMEDIA AND EXPO ICME                              ","  5"
"47","APSIPA TRANSACTIONS ON SIGNAL AND INFORMATION PROCESSING                                    ","  5"
"48","GRAPHICAL MODELS                                                                            ","  5"
"49","IEEE MMSP 2021: 2021 IEEE 23RD INTERNATIONAL WORKSHOP ON MULTIMEDIA SIGNAL PROCESSING (MMSP)","  5"
"50","IEEE SYSTEMS JOURNAL                                                                        ","  5"
"51","IEEE TRANSACTIONS ON BROADCASTING                                                           ","  5"
"52","IEEE TRANSACTIONS ON SIGNAL PROCESSING                                                      ","  5"
"53","JOURNAL OF GEOPHYSICAL RESEARCH-SPACE PHYSICS                                               ","  5"
"54","PROCEEDINGS OF THE 2023 PROCEEDINGS OF THE 14TH ACM MULTIMEDIA SYSTEMS CONFERENCE MMSYS 2023","  5"
"55","RENEWABLE & SUSTAINABLE ENERGY REVIEWS                                                      ","  5"
"56","2017 IEEE VISUAL COMMUNICATIONS AND IMAGE PROCESSING (VCIP)                                 ","  4"
"57","2021 DATA COMPRESSION CONFERENCE (DCC 2021)                                                 ","  4"
"58","2022 IEEE INTERNATIONAL CONFERENCE ON ACOUSTICS SPEECH AND SIGNAL PROCESSING (ICASSP)       ","  4"
"59","2022 PICTURE CODING SYMPOSIUM (PCS)                                                         ","  4"
"60","2023 15TH INTERNATIONAL CONFERENCE ON QUALITY OF MULTIMEDIA EXPERIENCE QOMEX                ","  4"
"61","2023 DATA COMPRESSION CONFERENCE DCC                                                        ","  4"
"62","2023 IEEE 25TH INTERNATIONAL WORKSHOP ON MULTIMEDIA SIGNAL PROCESSING MMSP                  ","  4"
"63","2023 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR)                  ","  4"
"64","ADVANCED ENGINEERING INFORMATICS                                                            ","  4"
"65","COMPUTER VISION AND IMAGE UNDERSTANDING                                                     ","  4"
"66","IEEE SENSORS LETTERS                                                                        ","  4"
"67","IEEE TRANSACTIONS ON EMERGING TOPICS IN COMPUTATIONAL INTELLIGENCE                          ","  4"
"68","IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS                                                 ","  4"
"69","IEEE TRANSACTIONS ON ROBOTICS                                                               ","  4"
"70","IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS                                                ","  4"
"71","IEEE-ASME TRANSACTIONS ON MECHATRONICS                                                      ","  4"
"72","INTERNATIONAL JOURNAL OF COMPUTER VISION                                                    ","  4"
"73","MATERIALS TODAY-PROCEEDINGS                                                                 ","  4"
"74","VISUAL COMPUTER                                                                             ","  4"
"75","2015 IEEE INTERNATIONAL CONFERENCE ON IMAGE PROCESSING (ICIP)                               ","  3"
"76","2017 IEEE 19TH INTERNATIONAL WORKSHOP ON MULTIMEDIA SIGNAL PROCESSING (MMSP)                ","  3"
"77","2019 DATA COMPRESSION CONFERENCE (DCC)                                                      ","  3"
"78","2019 IEEE INTERNATIONAL CONFERENCE ON MULTIMEDIA AND EXPO (ICME)                            ","  3"
"79","2020 DATA COMPRESSION CONFERENCE (DCC 2020)                                                 ","  3"
"80","2020 IEEE INTERNATIONAL CONFERENCE ON MULTIMEDIA AND EXPO (ICME)                            ","  3"
"81","2020 IEEE INTERNATIONAL CONFERENCE ON MULTIMEDIA AND EXPO WORKSHOPS (ICMEW)                 ","  3"
"82","2021 IEEE INTERNATIONAL CONFERENCE ON MULTIMEDIA & EXPO WORKSHOPS (ICMEW)                   ","  3"
"83","2021 PICTURE CODING SYMPOSIUM (PCS)                                                         ","  3"
"84","2022 IEEE 24TH INTERNATIONAL WORKSHOP ON MULTIMEDIA SIGNAL PROCESSING (MMSP)                ","  3"
"85","2022 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION (ICRA 2022)                   ","  3"
"86","2022 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR 2022)             ","  3"
"87","ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS                    ","  3"
"88","COMPUTER-AIDED DESIGN                                                                       ","  3"
"89","ENERGIES                                                                                    ","  3"
"90","ENERGY & FUELS                                                                              ","  3"
"91","FORESTS                                                                                     ","  3"
"92","FRONTIERS IN SIGNAL PROCESSING                                                              ","  3"
"93","FUEL                                                                                        ","  3"
"94","IEEE COMMUNICATIONS SURVEYS AND TUTORIALS                                                   ","  3"
"95","IEEE COMPUTER GRAPHICS AND APPLICATIONS                                                     ","  3"
"96","IEEE INTELLIGENT TRANSPORTATION SYSTEMS MAGAZINE                                            ","  3"
"97","IEEE INTERNATIONAL CONFERENCE ON COMMUNICATIONS (ICC 2021)                                  ","  3"
"98","IEEE JOURNAL OF SELECTED TOPICS IN SIGNAL PROCESSING                                        ","  3"
"99","IEEE JOURNAL ON EMERGING AND SELECTED TOPICS IN CIRCUITS AND SYSTEMS                        ","  3"
"100","IEEE MULTIMEDIA                                                                             ","  3"
