"","Sources       ","Articles"
"66","AGING NEUROPSYCHOLOGY AND COGNITION                                      "," 4"
"67","AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY                                 "," 4"
"68","APPLIED NEUROPSYCHOLOGY                                                  "," 4"
"69","BEHAVIOR GENETICS                                                        "," 4"
"70","BIPOLAR DISORDERS                                                        "," 4"
"71","CESKA A SLOVENSKA NEUROLOGIE A NEUROCHIRURGIE                            "," 4"
"72","COGNITION                                                                "," 4"
"73","COGNITIVE NEUROPSYCHOLOGY                                                "," 4"
"74","DEVELOPMENTAL NEUROPSYCHOLOGY                                            "," 4"
"75","FRONTIERS IN HUMAN NEUROSCIENCE                                          "," 4"
"76","JOURNAL OF ECT                                                           "," 4"
"77","JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL                               "," 4"
"78","JOURNAL OF NEUROSCIENCE                                                  "," 4"
"79","JOURNALS OF GERONTOLOGY SERIES A-BIOLOGICAL SCIENCES AND MEDICAL SCIENCES"," 4"
"80","MEMORY & COGNITION                                                       "," 4"
"81","NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS                                   "," 4"
"82","PSYCHOLOGY IN THE SCHOOLS                                                "," 4"
"83","ALZHEIMERS RESEARCH & THERAPY                                            "," 3"
"84","AMERICAN JOURNAL OF OCCUPATIONAL THERAPY                                 "," 3"
"85","APPLIED COGNITIVE PSYCHOLOGY                                             "," 3"
"86","ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION                         "," 3"
"87","BEHAVIOURAL NEUROLOGY                                                    "," 3"
"88","BRAIN AND COGNITION                                                      "," 3"
"89","BRAIN SCIENCES                                                           "," 3"
"90","BRITISH JOURNAL OF PSYCHIATRY                                            "," 3"
"91","CEREBRAL CORTEX                                                          "," 3"
"92","COCHRANE DATABASE OF SYSTEMATIC REVIEWS                                  "," 3"
"93","COGNITIVE BRAIN RESEARCH                                                 "," 3"
"94","DEMENTIA AND GERIATRIC COGNITIVE DISORDERS                               "," 3"
"95","EUROPEAN ARCHIVES OF PSYCHIATRY AND CLINICAL NEUROSCIENCE                "," 3"
"96","EUROPEAN NEUROPSYCHOPHARMACOLOGY                                         "," 3"
"97","EUROPEAN PSYCHIATRY                                                      "," 3"
"98","FORTSCHRITTE DER NEUROLOGIE PSYCHIATRIE                                  "," 3"
"99","FRONTIERS IN NEUROSCIENCE                                                "," 3"
"100","INTERNATIONAL JOURNAL OF NEUROSCIENCE                                    "," 3"
