"","Sources       ","Articles"
"49","RESEARCH IN SCIENCE & TECHNOLOGICAL EDUCATION                                            "," 13"
"50","ASSISTIVE TECHNOLOGY                                                                     "," 12"
"51","CIN-COMPUTERS INFORMATICS NURSING                                                        "," 12"
"52","JOURNAL OF EDUCATIONAL RESEARCH                                                          "," 12"
"53","AMERICAN ANNALS OF THE DEAF                                                              "," 11"
"54","INTERNATIONAL JOURNAL OF EDUCATIONAL DEVELOPMENT                                         "," 11"
"55","INTERNATIONAL JOURNAL OF ENGINEERING EDUCATION                                           "," 11"
"56","JOURNAL OF BALTIC SCIENCE EDUCATION                                                      "," 11"
"57","LIBRARY HI TECH                                                                          "," 11"
"58","REVIEW OF EDUCATIONAL RESEARCH                                                           "," 11"
"59","TEACHERS COLLEGE RECORD                                                                  "," 11"
"60","APPLIED SCIENCES-BASEL                                                                   "," 10"
"61","ASIA-PACIFIC EDUCATION RESEARCHER                                                        "," 10"
"62","EDUCATIONAL POLICY                                                                       "," 10"
"63","HISTORY OF EDUCATION                                                                     "," 10"
"64","INTERNATIONAL JOURNAL OF EDUCATIONAL RESEARCH                                            "," 10"
"65","KURAM VE UYGULAMADA EGITIM BILIMLERI                                                     "," 10"
"66","NURSE EDUCATION TODAY                                                                    "," 10"
"67","OXFORD REVIEW OF EDUCATION                                                               "," 10"
"68","PROSPECTS                                                                                "," 10"
"69","REVISTA DE EDUCACION                                                                     "," 10"
"70","BRITISH JOURNAL OF SOCIOLOGY OF EDUCATION                                                ","  9"
"71","COMPUTER APPLICATIONS IN ENGINEERING EDUCATION                                           ","  9"
"72","EDUCATIONAL RESEARCHER                                                                   ","  9"
"73","ENERGY EDUCATION SCIENCE AND TECHNOLOGY PART B-SOCIAL AND EDUCATIONAL STUDIES            ","  9"
"74","INSTRUCTIONAL SCIENCE                                                                    ","  9"
"75","INTERVENTION IN SCHOOL AND CLINIC                                                        ","  9"
"76","JOURNAL OF DENTAL EDUCATION                                                              ","  9"
"77","NURSE EDUCATION IN PRACTICE                                                              ","  9"
"78","CROATIAN JOURNAL OF EDUCATION-HRVATSKI CASOPIS ZA ODGOJ I OBRAZOVANJE                    ","  8"
"79","EARLY CHILD DEVELOPMENT AND CARE                                                         ","  8"
"80","EDUCATIONAL PSYCHOLOGY REVIEW                                                            ","  8"
"81","HEALTHCARE                                                                               ","  8"
"82","HIGHER EDUCATION                                                                         ","  8"
"83","INFORMATION DEVELOPMENT                                                                  ","  8"
"84","INTERNET AND HIGHER EDUCATION                                                            ","  8"
"85","IRISH EDUCATIONAL STUDIES                                                                ","  8"
"86","JOURNAL OF CURRICULUM STUDIES                                                            ","  8"
"87","JOURNAL OF PROFESSIONAL NURSING                                                          ","  8"
"88","THINKING SKILLS AND CREATIVITY                                                           ","  8"
"89","ANTHROPOLOGIST                                                                           ","  7"
"90","AV COMMUNICATION REVIEW                                                                  ","  7"
"91","BEHAVIORAL SCIENCES                                                                      ","  7"
"92","BEHAVIOUR & INFORMATION TECHNOLOGY                                                       ","  7"
"93","EDUCATIONAL RESEARCH                                                                     ","  7"
"94","EDUCATIONAL STUDIES IN MATHEMATICS                                                       ","  7"
"95","EGITIM VE BILIM-EDUCATION AND SCIENCE                                                    ","  7"
"96","EVALUATION AND PROGRAM PLANNING                                                          ","  7"
"97","HACETTEPE UNIVERSITESI EGITIM FAKULTESI DERGISI-HACETTEPE UNIVERSITY JOURNAL OF EDUCATION","  7"
"98","JOURNAL OF EDUCATIONAL PSYCHOLOGY                                                        ","  7"
"99","JOURNAL OF EDUCATIONAL TELEVISION                                                        ","  7"
"100","JOURNAL OF MEDICAL INTERNET RESEARCH                                                     ","  7"
