"","Paper         ","DOI","TC","TCperYear","NTC"
"22","TONDEUR J, 2017, ETR&D-EDUC TECH RES          ","10.1007/s11423-016-9481-2       "," 339"," 42.38","11.70"
"23","LAZEAR EP, 2001, Q J ECON                     ","10.1162/00335530152466232       "," 335"," 13.96"," 8.84"
"24","POTVIN P, 2014, STUD SCI EDUC                 ","10.1080/03057267.2014.881626    "," 334"," 30.36","10.24"
"25","HWANG GJ, 2013, COMPUT EDUC                   ","10.1016/j.compedu.2013.07.008   "," 332"," 27.67"," 9.67"
"26","PAPAMITSIOU Z, 2014, EDUC TECHNOL SOC         ","NA                              "," 330"," 30.00","10.12"
"27","KIM C, 2013, TEACH TEACH EDUC                 ","10.1016/j.tate.2012.08.005      "," 326"," 27.17"," 9.50"
"28","INAN FA, 2010, ETR&D-EDUC TECH RES            ","10.1007/s11423-009-9132-y       "," 322"," 21.47"," 7.33"
"29","TEO T, 2008, J COMPUT ASSIST LEAR             ","10.1111/j.1365-2729.2007.00247.x"," 320"," 18.82"," 7.78"
"30","CHEUNG ACK, 2013, EDUC RES REV-NETH           ","10.1016/j.edurev.2013.01.001    "," 307"," 25.58"," 8.94"
"31","SADIK A, 2008, ETR&D-EDUC TECH RES            ","10.1007/s11423-008-9091-8       "," 303"," 17.82"," 7.36"
"32","MARTIN F, 2013, COMPUT EDUC                   ","10.1016/j.compedu.2013.04.021   "," 294"," 24.50"," 8.57"
"33","MARTÍN-GUTIÉRREZ J, 2017, EURASIA J MATH SCI T","10.12973/eurasia.2017.00626a    "," 292"," 36.50","10.08"
"34","BENNETT S, 2010, J COMPUT ASSIST LEAR         ","10.1111/j.1365-2729.2010.00360.x"," 292"," 19.47"," 6.65"
"35","DZIUBAN C, 2018, INT J EDUC TECHNOL H         ","10.1186/s41239-017-0087-5       "," 289"," 41.29","12.73"
"36","COLE M, 2009, COMPUT EDUC                     ","10.1016/j.compedu.2008.07.003   "," 280"," 17.50"," 5.80"
"37","OTTENBREIT-LEFTWICH AT, 2010, COMPUT EDUC     ","10.1016/j.compedu.2010.06.002   "," 276"," 18.40"," 6.28"
"38","HENDERSON M, 2017, STUD HIGH EDUC             ","10.1080/03075079.2015.1007946   "," 271"," 33.88"," 9.35"
"39","GRANIC A, 2019, BRIT J EDUC TECHNOL           ","10.1111/bjet.12864              "," 269"," 44.83","12.05"
"40","AMIEL T, 2008, EDUC TECHNOL SOC               ","NA                              "," 266"," 15.65"," 6.46"
"41","CAI ZH, 2017, COMPUT EDUC                     ","10.1016/j.compedu.2016.11.003   "," 264"," 33.00"," 9.11"
"42","RUSSELL M, 2003, J TEACH EDUC                 ","10.1177/0022487103255985        "," 259"," 11.77"," 4.12"
"43","DILLON A, 1998, REV EDUC RES                  ","10.2307/1170600                 "," 256","  9.48","10.62"
"44","WINDSCHITL M, 2002, AM EDUC RES J             ","10.3102/00028312039001165       "," 255"," 11.09"," 8.67"
"45","YONG Z, 2003, AM EDUC RES J                   ","NA                              "," 254"," 11.55"," 4.04"
"46","RASHID T, 2016, COMPUT HUM BEHAV              ","10.1016/j.chb.2016.05.084       "," 254"," 28.22"," 9.17"
"47","KASNECI E, 2023, LEARN INDIVID DIFFER         ","10.1016/j.lindif.2023.102274    "," 252","126.00","85.51"
"48","AL-EMRAN M, 2018, COMPUT EDUC                 ","10.1016/j.compedu.2018.06.008   "," 252"," 36.00","11.10"
"49","VIRVOU M, 2005, EDUC TECHNOL SOC              ","NA                              "," 250"," 12.50"," 5.94"
"50","RESTA P, 2007, EDUC PSYCHOL REV               ","10.1007/s10648-007-9042-7       "," 247"," 13.72"," 4.96"
"51","LINDGREN R, 2013, EDUC RESEARCHER             ","10.3102/0013189X13511661        "," 245"," 20.42"," 7.14"
"52","MARTIN S, 2011, COMPUT EDUC                   ","10.1016/j.compedu.2011.04.003   "," 244"," 17.43"," 8.25"
"53","SELWYN N, 2010, J COMPUT ASSIST LEAR          ","10.1111/j.1365-2729.2009.00338.x"," 241"," 16.07"," 5.48"
"54","HOYER WD, 2020, J INTERACT MARK               ","10.1016/j.intmar.2020.04.001    "," 241"," 48.20","12.95"
"55","PADILLA-MELÉNDEZ A, 2013, COMPUT EDUC         ","10.1016/j.compedu.2012.12.014   "," 239"," 19.92"," 6.96"
"56","ANNETTA LA, 2010, REV GEN PSYCHOL             ","10.1037/a0018985                "," 236"," 15.73"," 5.37"
"57","TEO T, 2009, COMPUT EDUC                      ","10.1016/j.compedu.2009.05.017   "," 232"," 14.50"," 4.80"
"58","HANNAFIN MJ, 1997, INSTR SCI                  ","10.1023/A:1002997414652         "," 229","  8.18"," 7.51"
"59","SÄLJÖ R, 2010, J COMPUT ASSIST LEAR           ","10.1111/j.1365-2729.2009.00341.x"," 228"," 15.20"," 5.19"
"60","ASIF R, 2017, COMPUT EDUC                     ","10.1016/j.compedu.2017.05.007   "," 224"," 28.00"," 7.73"
"61","BOND M, 2020, INT J EDUC TECHNOL H            ","10.1186/s41239-019-0176-8       "," 224"," 44.80","12.04"
"62","KOPCHA TJ, 2012, COMPUT EDUC                  ","10.1016/j.compedu.2012.05.014   "," 222"," 17.08"," 5.48"
"63","CONOLE G, 2008, COMPUT EDUC                   ","10.1016/j.compedu.2007.09.009   "," 220"," 12.94"," 5.35"
"64","KIM MC, 2011, COMPUT EDUC                     ","10.1016/j.compedu.2010.08.024   "," 220"," 15.71"," 7.44"
"65","DUTTI A, 2017, IEEE ACCESS                    ","10.1109/ACCESS.2017.2654247     "," 211"," 26.38"," 7.28"
"66","COLLINS A, 2010, J COMPUT ASSIST LEAR         ","10.1111/j.1365-2729.2009.00339.x"," 210"," 14.00"," 4.78"
"67","COOK DA, 2012, SIMUL HEALTHC                  ","10.1097/SIH.0b013e3182614f95    "," 209"," 16.08"," 5.16"
"68","HILTON J, 2016, ETR&D-EDUC TECH RES           ","10.1007/s11423-016-9434-9       "," 206"," 22.89"," 7.44"
"69","WAI J, 2010, J EDUC PSYCHOL                   ","10.1037/a0019454                "," 204"," 13.60"," 4.64"
"70","SVENDSEN GB, 2013, BEHAV INFORM TECHNOL       ","10.1080/0144929X.2011.553740    "," 201"," 16.75"," 5.86"
"71","TAKACS ZK, 2015, REV EDUC RES                 ","10.3102/0034654314566989        "," 200"," 20.00"," 8.03"
"72","MARIANO MJ, 2012, AGR SYST                    ","10.1016/j.agsy.2012.03.010      "," 200"," 15.38"," 4.94"
"73","NIEDERHAUSER DS, 2001, TEACH TEACH EDUC       ","10.1016/S0742-051X(00)00036-6   "," 197","  8.21"," 5.20"
"74","JOO YJ, 2018, EDUC TECHNOL SOC                ","NA                              "," 189"," 27.00"," 8.33"
"75","HUNG HT, 2010, TEACH HIGH EDUC                ","10.1080/13562517.2010.507307    "," 187"," 12.47"," 4.26"
"76","GARZÓN J, 2019, VIRTUAL REAL-LONDON           ","10.1007/s10055-019-00379-9      "," 183"," 30.50"," 8.20"
"77","GUO JS, 2015, DEV PSYCHOL                     ","10.1037/a0039440                "," 182"," 18.20"," 7.31"
"78","ADRIAN AM, 2005, COMPUT ELECTRON AGR          ","10.1016/j.compag.2005.04.004    "," 180","  9.00"," 4.27"
"79","SWELLER J, 2020, ETR&D-EDUC TECH RES          ","10.1007/s11423-019-09701-3      "," 179"," 35.80"," 9.62"
"80","BOND M, 2018, INT J EDUC TECHNOL H            ","10.1186/s41239-018-0130-1       "," 178"," 25.43"," 7.84"
"81","BENNETT S, 2012, COMPUT EDUC                  ","10.1016/j.compedu.2011.12.022   "," 176"," 13.54"," 4.34"
"82","POLLY D, 2010, TEACH TEACH EDUC               ","10.1016/j.tate.2009.10.024      "," 175"," 11.67"," 3.98"
"83","YUEN AHK, 2008, ASIA-PAC J TEACH EDU          ","10.1080/13598660802232779       "," 173"," 10.18"," 4.20"
"84","CHUN D, 2016, MOD LANG J                      ","10.1111/modl.12302              "," 172"," 19.11"," 6.21"
"85","AYDIN S, 2012, ETR&D-EDUC TECH RES            ","10.1007/s11423-012-9260-7       "," 171"," 13.15"," 4.22"
"86","ENGLUND C, 2017, HIGH EDUC RES DEV            ","10.1080/07294360.2016.1171300   "," 169"," 21.12"," 5.83"
"87","WARSCHAUER M, 2004, EDUC POLICY               ","10.1177/0895904804266469        "," 169","  8.05"," 6.26"
"88","CHEUNG ACK, 2012, EDUC RES REV-NETH           ","10.1016/j.edurev.2012.05.002    "," 169"," 13.00"," 4.17"
"89","MA WWK, 2005, J COMPUT ASSIST LEAR            ","10.1111/j.1365-2729.2005.00145.x"," 168","  8.40"," 3.99"
"90","VOLMAN M, 2001, REV EDUC RES                  ","10.3102/00346543071004613       "," 166","  6.92"," 4.38"
"91","DRIJVERS P, 2010, EDUC STUD MATH              ","10.1007/s10649-010-9254-5       "," 166"," 11.07"," 3.78"
"92","HEMMI A, 2009, J COMPUT ASSIST LEAR           ","10.1111/j.1365-2729.2008.00306.x"," 165"," 10.31"," 3.42"
"93","VALK JH, 2010, INT REV RES OPEN DIS           ","10.19173/irrodl.v11i1.794       "," 160"," 10.67"," 3.64"
"94","GUNTER GA, 2008, ETR&D-EDUC TECH RES          ","10.1007/s11423-007-9073-2       "," 160","  9.41"," 3.89"
"95","CHEN X, 2020, COMPUT EDUC                     ","10.1016/j.compedu.2020.103855   "," 158"," 31.60"," 8.49"
"96","HWANG GJ, 2012, ETR&D-EDUC TECH RES           ","10.1007/s11423-012-9241-x       "," 157"," 12.08"," 3.88"
"97","CHEN CH, 2008, J EDUC RES                     ","10.3200/JOER.102.1.65-75        "," 155","  9.12"," 3.77"
"98","SABI HM, 2016, INT J INFORM MANAGE            ","10.1016/j.ijinfomgt.2015.11.010 "," 154"," 17.11"," 5.56"
"99","TEO T, 2010, INTERACT LEARN ENVIR             ","10.1080/10494820802231327       "," 150"," 10.00"," 3.41"
"100","MINOGUE J, 2006, REV EDUC RES                 ","10.3102/00346543076003317       "," 150","  7.89"," 5.22"
